url,title,years,nb_seasons,nb_episodes,episode_length,synopsis,mark,marks_nb
https://www.imdb.com/title/tt0280249/?ref_=chttvtp_i_186,Dragon Ball,1995–2003,9,153,24min,"Dragon Ball raconte l'histoire d'un jeune guerrier nommé Son Goku, un jeune garçon particulier qui se lance dans une quête pour devenir plus fort et découvre le pouvoir des Dragon Balls.","8,5",65 k
https://www.imdb.com/title/tt13868972/?ref_=chttvtp_i_190,Rocket Boys,2022– ,2,17,,"L'histoire de deux hommes extraordinaires, Dr. Homi Jehangir Bhabha et Dr. Vikram Ambalal Sarabhai, qui ont créé l'histoire tout en construisant l'avenir de l'Inde.","8,9",18 k
https://www.imdb.com/title/tt10048342/?ref_=chttvtp_i_183,Le jeu de la dame,2020,,7,,"En pleine guerre froide, Beth Harmon est une orpheline prodige des échecs. Suivez-la dans sa quête pour devenir la plus grande joueuse d'échecs du monde tout en affrontant des problèmes d'ad...","8,5",545 k
https://www.imdb.com/title/tt12343534/?ref_=chttvtp_i_182,Jujutsu Kaisen,2020– ,3,48,24min,Un garçon avale un talisman maudit (le doigt d'un démon) et devient lui-même maudit. Il entre dans une école de chaman pour pouvoir localiser les autres parties du corps du démon et ainsi s'...,"8,6",109 k
https://www.imdb.com/title/tt0417373/?ref_=chttvtp_i_181,The Venture Bros.,2003–2018,7,86,22min,"Les vives et étranges aventures du savant pseudo-héroïque Dr. Rusty Venture, de son garde du corps compétent et très nerveux, et de ses deux fils trop enthousiastes.","8,6",28 k
https://www.imdb.com/title/tt0088509/?ref_=chttvtp_i_180,Dragon Ball,1986–1989,,153,25min,"Son Gokû, un combattant avec une queue de singe, part avec un groupe de personnages étranges à la recherche des Dragon Balls, des cristaux qui peuvent donner tout ce qu'il désire à celui qui...","8,5",65 k
https://www.imdb.com/title/tt0275137/?ref_=chttvtp_i_179,La Ligue des justiciers,2001–2004,2,52,22min,Les sept héros les plus redoutables au monde forment l'équipe la plus puissante de tous les temps.,"8,6",51 k
https://www.imdb.com/title/tt0106028/?ref_=chttvtp_i_177,Homicide,1993–1999,7,122,1h,Une série télévisée procédurale de la police étasunienne relatant le travail d'une version fictive de l'unité des homicides du département de police de Baltimore.,"8,7",14 k
https://www.imdb.com/title/tt4063800/?ref_=chttvtp_i_175,Le Bureau des Légendes,2015–2020,5,50,52min,"Au bout de six années d'infiltration en Syrie, l'officier de renseignement français Malotru rentre chez lui, où il s'efforce d'oublier son identité d'infiltré, et il forme une jeune recrue e...","8,7",14 k
https://www.imdb.com/title/tt6763664/?ref_=chttvtp_i_176,The Haunting of Hill House,2018,,10,,Inspiré du roman The Haunting of Hill House de Shirley Jackson.,"8,6",286 k
https://www.imdb.com/title/tt1489428/?ref_=chttvtp_i_172,Justified,2010–2015,6,78,,"Le maréchal américain Raylan Givens, un ancien de la vieille école, est transféré de Miami à sa région natale pauvre et minière de l'est du Kentucky.","8,6",118 k
https://www.imdb.com/title/tt0229889/?ref_=chttvtp_i_174,El Chavo del Ocho,1972–1983,8,357,30min,"Les mésaventures d'un enfant pauvre, sans abri et maladroit et de ses amis dans leur humble quartier.","8,7",13 k
https://www.imdb.com/title/tt0053488/?ref_=chttvtp_i_173,The Bugs Bunny Show,1960–1975,3,78,30min,TV series featuring the classic Looney Tunes animated shorts.,"8,6",36 k
https://www.imdb.com/title/tt0979432/?ref_=chttvtp_i_171,Boardwalk Empire,2010–2014,5,56,55min,"Un homme politique d'Atlantic City dans le New Jersey joue des deux côtés de la loi, conspirant avec des gangsters à l'époque de la prohibition.","8,6",202 k
https://www.imdb.com/title/tt7908628/?ref_=chttvtp_i_178,What We Do in the Shadows,2019–2024,6,51,30min,Un aperçu de la vie quotidienne (ou plutôt nocturne) de trois vampires vivant ensemble depuis plus de 100 ans à Staten Island.,"8,6",101 k
https://www.imdb.com/title/tt1870479/?ref_=chttvtp_i_168,The Newsroom,2012–2014,3,25,55min,"Une salle de rédaction subit des changements dans son fonctionnement et dans sa moralité lors de l'introduction d'une nouvelle équipe, apportant des résultats inattendus pour le présentateur...","8,6",124 k
https://www.imdb.com/title/tt14452776/?ref_=chttvtp_i_167,The Bear,2022– ,3,19,35min,Un jeune chef du monde de la gastronomie revient à Chicago pour diriger la sandwicherie de sa famille.,"8,6",204 k
https://www.imdb.com/title/tt4236770/?ref_=chttvtp_i_169,Yellowstone,2018– ,5,53,1h,Une famille dans un ranch du Montana affronte les personnes qui empiètent sur leurs terres.,"8,7",215 k
https://www.imdb.com/title/tt0380136/?ref_=chttvtp_i_170,QI,2003– ,21,333,30min,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer s...","8,6",33 k
https://www.imdb.com/title/tt7472896/?ref_=chttvtp_i_166,Mr Inbetween,2018–2021,3,26,30min,"Ray Shoesmith est un père de famille, ex-mari, petit ami, frère et meilleur ami, des rôles difficiles à concilier à notre époque. Encore plus difficile lorsque l'on est criminel aussi.","8,6",29 k
https://www.imdb.com/title/tt9103932/?ref_=chttvtp_i_165,Les Grandes Batailles de la 2ᵉ Guerre mondiale,2019,,10,,Une série d'archives colorées d'événements importants pendant la 2ème Guerre Mondiale.,"8,7",11 k
https://www.imdb.com/title/tt9174558/?ref_=chttvtp_i_163,Dopesick,2021,,8,,"La découverte de l'épicentre de la lutte de l'Amérique contre la dépendance aux opioïdes, des salles de réunion de Purdue Pharma à une communauté minière de Virginie en détresse, en passant ...","8,6",76 k
https://www.imdb.com/title/tt1641384/?ref_=chttvtp_i_162,La Ligue des justiciers: Nouvelle Génération,2010–2023,4,102,23min,Les super-héros adolescents s'efforcent de faire leurs preuves en tant que membres de la Jusice League.,"8,6",45 k
https://www.imdb.com/title/tt21056886/?ref_=chttvtp_i_158,Scavengers Reign,2023,,12,24min,Il suit l'équipage d'un cargo endommagé qui s'est échoué sur une planète magnifique mais dangereuse.,"8,7",14 k
https://www.imdb.com/title/tt5421602/?ref_=chttvtp_i_161,Anne with an E,2017–2019,3,27,1h,"Les aventures d'une jeune orpheline vivant à la fin du XIXème siècle. Anne apprend à gérer sa nouvelle vie sur l'Île-du-Prince-Édouard, dans cette nouvelle interprétation des romans de L.M. ...","8,6",66 k
https://www.imdb.com/title/tt1486217/?ref_=chttvtp_i_159,Archer,2009–2023,14,144,22min,Des opérations secrètes et des opérations d'espionnage passent au second plan face aux personnalités loufoques et aux relations entre agents secrets et drones.,"8,6",165 k
https://www.imdb.com/title/tt9335498/?ref_=chttvtp_i_160,Demon Slayer: Kimetsu no Yaiba,2019– ,4,66,24min,"Une famille est attaquée par des démons et deux membres seulement survivent: Tanjiro et sa soeur Nezuko, qui se transforme lentement en démon. Tanjiro cherche à devenir tueur de démons pour ...","8,6",144 k
https://www.imdb.com/title/tt10850932/?ref_=chttvtp_i_157,Crash Landing on You,2019–2020,,19,1h 10min,L'histoire d'amour secrète entre une héritière chaebol et un officier nord-coréen qui tombe amoureux d'elle et qui la protège après qu'elle se soit écrasée en parapente en Corée du Nord.,"8,7",41 k
