episode_length,mark,marks_nb,nb_episodes,nb_seasons,synopsis,title,url,years
55m,8.5,256K,33,3,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ...",Spartacus,https://www.imdb.com/title/tt1442449/?ref_=chttvtp_i_209,2010–2013
30m,8.5,46K,220,8,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audien...,Whose Line Is It Anyway?,https://www.imdb.com/title/tt0163507/?ref_=chttvtp_i_207,1998–2007
22m,8.5,82K,61,5,"The life of Louie C.K., a divorced comedian living in New York with two kids.",Louie,https://www.imdb.com/title/tt1492966/?ref_=chttvtp_i_205,2010–2015
30m,8.6,21K,20,3,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",Detectorists,https://www.imdb.com/title/tt4082744/?ref_=chttvtp_i_206,2014–2022
23m,8.5,59K,62,5,"A samurai, sent through time, fights to return home and save the world.",Samurai Jack,https://www.imdb.com/title/tt0278238/?ref_=chttvtp_i_203,2001–2017
29m,8.6,22K,12,2,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",I'm Alan Partridge,https://www.imdb.com/title/tt0129690/?ref_=chttvtp_i_201,1997–2002
1h 30m,8.7,37K,71,2,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",Ezel,https://www.imdb.com/title/tt1534360/?ref_=chttvtp_i_200,2009–2011
5h 15m,8.6,15K,10,,"Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and ...",Long Way Round,https://www.imdb.com/title/tt0403778/?ref_=chttvtp_i_202,2004–2010
25m,8.5,57K,14,2,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Spaced,https://www.imdb.com/title/tt0187664/?ref_=chttvtp_i_199,1999–2001
25m,8.5,164K,25,5,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",The IT Crowd,https://www.imdb.com/title/tt0487831/?ref_=chttvtp_i_197,2006–2013
11m,8.6,22K,69,6,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",The Eric Andre Show,https://www.imdb.com/title/tt2244495/?ref_=chttvtp_i_196,2012– 
30m,8.6,45K,284,10,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",Impractical Jokers,https://www.imdb.com/title/tt2100976/?ref_=chttvtp_i_194,2011– 
49m,8.5,416K,45,4,"Elliot, a brilliant but unstable cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global chaos when he and his shadowy allies try to take down the corr...",Mr. Robot,https://www.imdb.com/title/tt4158110/?ref_=chttvtp_i_198,2015–2019
1h,8.9,12K,20,2,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",Black Sun,https://www.imdb.com/title/tt6108262/?ref_=chttvtp_i_193,2017– 
1h 29m,8.6,33K,36,9,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of i...",Endeavour,https://www.imdb.com/title/tt2701582/?ref_=chttvtp_i_195,2012–2023
30m,8.6,13K,16,2,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"Yes, Prime Minister",https://www.imdb.com/title/tt0086831/?ref_=chttvtp_i_191,1986–1987
24m,8.6,55K,26,,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",Samurai Champloo,https://www.imdb.com/title/tt0423731/?ref_=chttvtp_i_192,2004–2005
,8.9,18K,17,2,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",Rocket Boys,https://www.imdb.com/title/tt13868972/?ref_=chttvtp_i_190,2022– 
30m,8.6,48K,28,4,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,Coupling,https://www.imdb.com/title/tt0237123/?ref_=chttvtp_i_189,2000–2004
1h,8.5,102K,20,2,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",Making a Murderer,https://www.imdb.com/title/tt5189670/?ref_=chttvtp_i_188,2015–2018
24m,8.5,65K,153,9,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a...",Dragon Ball,https://www.imdb.com/title/tt0280249/?ref_=chttvtp_i_186,1995–2003
3h 3m,8.5,80K,2,,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for...",Battlestar Galactica,https://www.imdb.com/title/tt0314979/?ref_=chttvtp_i_184,2003
45m,8.7,98K,20,3,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",The Family Man,https://www.imdb.com/title/tt9544034/?ref_=chttvtp_i_185,2019– 
,8.5,546K,7,,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",The Queen's Gambit,https://www.imdb.com/title/tt10048342/?ref_=chttvtp_i_183,2020
24m,8.6,109K,48,3,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself...,Jujutsu Kaisen,https://www.imdb.com/title/tt12343534/?ref_=chttvtp_i_182,2020– 
